key_kind,source_industry,destination_industry,commodity,row_code,share
C3,221100,233240,,336412,-4.437626736635486e-06
C3,221100,233240,,336992,-0.0003574306626053673
C3,221100,233240,,336999,-2.6222339807391503e-06
C3,221100,233240,,337110,-4.109813847222382e-05
C3,221100,233240,,337215,-2.6161532023780177e-05
C3,221100,233240,,339112,-8.068412248428156e-07
C3,221100,233240,,339113,-6.858150411163932e-06
C3,221100,233240,,339920,-5.541369638073816e-06
C3,221100,233240,,339940,-2.0761786645664884e-05
C3,221100,233240,,339950,-5.541369638073816e-06
C3,221100,233240,,339990,-0.00016569679095435226
C3,221100,233240,,311119,-4.316600552909063e-05
C3,221100,233240,,311221,-3.2273648993712622e-06
C3,221100,233240,,311300,-4.034206124214078e-07
C3,221100,233240,,311410,-2.218813368317743e-06
C3,221100,233240,,311420,-1.6136824496856311e-06
C3,221100,233240,,311513,-3.470300134066277e-06
C3,221100,233240,,311514,-6.051309186321116e-07
C3,221100,233240,,31151A,-2.017103062107039e-07
C3,221100,233240,,311520,-2.218813368317743e-06
C3,221100,233240,,311615,-6.4547297987425244e-06
C3,221100,233240,,31161A,-0.00010047921577858674
C3,221100,233240,,311700,-5.042757655267597e-06
C3,221100,233240,,311810,-4.580547609367886e-09
C3,221100,233240,,3118A0,-1.6136824496856311e-06
C3,221100,233240,,311910,-1.433517338378808e-05
C3,221100,233240,,311920,-4.580547609367886e-09
C3,221100,233240,,311930,-6.696782166195368e-05
C3,221100,233240,,311940,-2.0171030621070387e-06
C3,221100,233240,,311990,-9.883805004324492e-06
C3,221100,233240,,312110,-6.055889733930485e-06
C3,221100,233240,,312120,-1.8322190437471544e-08
C3,221100,233240,,312130,-1.4321431740959975e-05
C3,221100,233240,,312140,-9.272014928989134e-05
C3,221100,233240,,313200,-6.656440104953229e-06
C3,221100,233240,,313300,-3.151503304439213e-05
C3,221100,233240,,314900,-0.0002717617128717229
C3,221100,233240,,315000,-3.832495818003374e-06
C3,221100,233240,,316000,-1.3862585190403271e-05
C3,221100,233240,,322110,-4.034206124214078e-07
C3,221100,233240,,322120,-0.0002382309602382685
C3,221100,233240,,322130,-0.00016756623810914768
C3,221100,233240,,322210,-0.0009373210460205095
C3,221100,233240,,322220,-0.0007068914789381588
C3,221100,233240,,322230,-4.4251242431597726e-05
C3,221100,233240,,322299,-5.256547345483127e-05
C3,221100,233240,,323110,-0.0019567335218401245
C3,221100,233240,,323120,-1.2102618372642233e-06
C3,221100,233240,,324110,-0.007661005048870604
C3,221100,233240,,324121,-8.114217724521834e-07
C3,221100,233240,,324190,-0.00023004162975951437
C3,221100,233240,,325110,8.791955849420952e-05
C3,221100,233240,,325120,-0.002629715492457123
C3,221100,233240,,325130,-8.875253473270971e-06
C3,221100,233240,,325180,-0.0016817497465759128
C3,221100,233240,,325190,-0.000557006653800417
C3,221100,233240,,3252A0,-6.253019492531821e-06
C3,221100,233240,,325411,-2.4205236745284466e-06
C3,221100,233240,,325412,-5.8495988801104125e-06
C3,221100,233240,,325414,-0.0006290177706327704
C3,221100,233240,,325310,-8.458173316623533e-05
C3,221100,233240,,325320,-3.6307855117926696e-06
C3,221100,233240,,325510,-0.0002490108706709312
C3,221100,233240,,325520,-2.8700001141895992e-05
C3,221100,233240,,325610,-0.00014343363695809949
C3,221100,233240,,325620,-4.457797767256555e-05
C3,221100,233240,,325910,-0.00021837637808864738
C3,221100,233240,,3259A0,-0.00042617050388197404
C3,221100,233240,,326110,-0.0014386368497606027
C3,221100,233240,,326120,-7.652090551225569e-05
C3,221100,233240,,326130,-2.0171030621070387e-06
C3,221100,233240,,326140,-0.0002220617018622014
C3,221100,233240,,326150,-0.00024987191687975
C3,221100,233240,,326160,-3.334614846268999e-06
C3,221100,233240,,326190,-0.002770188112434196
C3,221100,233240,,326210,-0.0001089820981958888
C3,221100,233240,,326220,4.79201167203487e-06
C3,221100,233240,,326290,-0.00014402115863444256
C3,221100,233240,,423100,-0.0013297688702836358
C3,221100,233240,,423400,-0.0023723644286010094
C3,221100,233240,,423600,-0.002744017529406719
