source_industry,commodity,destination_industry,share,delta,rule_id,va_mix
713200,711100,711100,1.0,11000000.0,default,
713200,722211,722211,1.0,806000000.0,default,
713900,2332D0,2332D0,1.0,193000000.0,default,
713900,441000,441000,1.0,80000000.0,default,
713900,4B0000,4B0000,1.0,674000000.0,default,
713900,531ORE,531ORE,1.0,6000000.0,default,
713900,532A00,532A00,1.0,74000000.0,default,
713900,541511,541511,1.0,9000000.0,default,
713900,541700,541700,1.0,1000000.0,default,
713900,611B00,611B00,1.0,2797000000.0,default,
713900,624400,624400,1.0,592000000.0,default,
713900,711200,711200,1.0,1000000.0,default,
713900,711A00,711A00,1.0,1000000.0,default,
713900,713100,713100,1.0,765000000.0,default,
713900,713200,713200,1.0,1000000.0,default,
713900,721000,721000,1.0,38000000.0,default,
713900,722211,722211,1.0,4994000000.0,default,
713900,811400,811400,1.0,98000000.0,default,
713900,812900,812900,1.0,1887000000.0,default,
721000,2332D0,2332D0,1.0,1577000000.0,default,
721000,441000,441000,1.0,10000000.0,default,
