commodity,industry,million_usd,moved
233240,21311A,4755.0,False
332710,21311A,369.0,False
324110,21311A,34.0,False
423A00,21311A,1.0,False
424700,21311A,122.0,False
541511,21311A,30.0,False
541700,21311A,269.0,False
221100,221100,351281.0,False
221200,221100,7824.0,False
221300,221100,996.0,False
233240,221100,2077.0,False
423800,221100,1415.0,False
444000,221100,824.0,False
4B0000,221100,2.0,False
486000,221100,965.0,False
541511,221100,357.0,False
541700,221100,107.0,False
211000,221200,76.0,False
221100,221200,1560.0,False
221200,221200,60196.0,False
233240,221200,544.0,False
4B0000,221200,3.0,False
486000,221200,1584.0,False
541511,221200,135.0,False
541700,221200,28.0,False
221100,221300,322.0,False
221200,221300,309.0,False
221300,221300,10046.0,False
2332D0,221300,1.0,False
233240,221300,14.0,False
444000,221300,4.0,False
541511,221300,1.0,False
541700,221300,3.0,False
562000,221300,5.0,False
S00203,221300,4107.0,False
233210,233210,45025.0,False
233262,233262,94786.0,False
230301,230301,200123.0,False
541511,230301,386.0,False
541700,230301,15.0,False
230302,230302,80273.0,False
2332A0,2332A0,160242.0,False
233412,233412,75093.0,False
2334A0,2334A0,250167.0,False
233230,233230,63523.0,False
2332D0,2332D0,114163.0,False
233240,233240,102085.0,False
233411,233411,254640.0,False
2332C0,2332C0,135588.0,False
233230,321100,46.0,False
321100,321100,32356.0,False
321200,321100,22.0,False
321910,321100,19.0,False
3219A0,321100,104.0,False
337110,321100,1.0,False
337215,321100,1.0,False
325310,321100,1.0,False
423A00,321100,377.0,False
541700,321100,39.0,False
S00401,321100,2.0,False
233230,321200,101.0,False
321100,321200,273.0,False
321200,321200,23707.0,False
321910,321200,46.0,False
3219A0,321200,128.0,False
332310,321200,12.0,False
423A00,321200,193.0,False
541511,321200,1.0,False
541700,321200,19.0,False
S00401,321200,68.0,False
233230,321910,234.0,False
321100,321910,2721.0,False
321200,321910,29.0,False
321910,321910,21331.0,False
3219A0,321910,385.0,False
332320,321910,87.0,False
332500,321910,50.0,False
337110,321910,48.0,False
337215,321910,1.0,False
33721A,321910,146.0,False
326130,321910,51.0,False
326190,321910,40.0,False
423A00,321910,306.0,False
541511,321910,7.0,False
541700,321910,20.0,False
S00401,321910,157.0,False
233230,3219A0,221.0,False
321100,3219A0,30.0,False
321200,3219A0,183.0,False
321910,3219A0,9.0,False
3219A0,3219A0,24269.0,False
327100,3219A0,24.0,False
327390,3219A0,105.0,False
327400,3219A0,11.0,False
332430,3219A0,10.0,False
337121,3219A0,1.0,False
337122,3219A0,6.0,False
33712N,3219A0,48.0,False
337215,3219A0,5.0,False
322210,3219A0,4.0,False
326140,3219A0,28.0,False
326190,3219A0,4.0,False
423800,3219A0,113.0,False
423A00,3219A0,45.0,False
541511,3219A0,9.0,False
541700,3219A0,22.0,False
S00401,3219A0,59.0,False
233230,327100,51.0,False
3219A0,327100,18.0,False
327100,327100,7798.0,False
327200,327100,2.0,False
327330,327100,3.0,False
327400,327100,17.0,False
327992,327100,42.0,False
33291A,327100,4.0,False
336992,327100,3.0,False
337110,327100,17.0,False
325180,327100,4.0,False
326190,327100,35.0,False
423A00,327100,69.0,False
541511,327100,4.0,False
541700,327100,69.0,False
233230,327200,164.0,False
327200,327200,25711.0,False
331490,327200,1.0,False
332320,327200,22.0,False
332500,327200,69.0,False
335920,327200,135.0,False
339930,327200,4.0,False
339940,327200,2.0,False
316000,327200,15.0,False
322220,327200,6.0,False
322299,327200,10.0,False
3259A0,327200,36.0,False
326190,327200,3.0,False
423A00,327200,24.0,False
541511,327200,8.0,False
541700,327200,155.0,False
S00401,327200,3.0,False
233230,327310,41.0,False
327310,327310,7970.0,False
327320,327310,181.0,False
327400,327310,51.0,False
327999,327310,15.0,False
423A00,327310,59.0,False
541511,327310,1.0,False
541700,327310,36.0,False
212310,327320,100.0,False
2123A0,327320,247.0,False
233230,327320,145.0,False
327100,327320,1.0,False
327310,327320,100.0,False
327320,327320,30333.0,False
327330,327320,42.0,False
327390,327320,130.0,False
327992,327320,27.0,False
327999,327320,77.0,False
33329A,327320,3.0,False
324121,327320,26.0,False
3259A0,327320,3.0,False
423A00,327320,243.0,False
541511,327320,9.0,False
541700,327320,181.0,False
233230,327330,40.0,False
327320,327330,17.0,False
327330,327330,5961.0,False
327390,327330,98.0,False
327999,327330,33.0,False
33329A,327330,3.0,False
423A00,327330,220.0,False
541511,327330,3.0,False
541700,327330,50.0,False
2123A0,327390,3.0,False
233230,327390,61.0,False
327320,327390,34.0,False
327330,327390,97.0,False
327390,327390,12139.0,False
327400,327390,13.0,False
327999,327390,9.0,False
324110,327390,1.0,False
324121,327390,7.0,False
423A00,327390,73.0,False
541511,327390,5.0,False
541700,327390,94.0,False
212310,327400,81.0,False
233230,327400,42.0,False
321200,327400,2.0,False
3219A0,327400,5.0,False
327100,327400,12.0,False
327400,327400,7879.0,False
423A00,327400,54.0,False
541511,327400,1.0,False
541700,327400,32.0,False
233230,327910,37.0,False
327910,327910,4655.0,False
314900,327910,9.0,False
322220,327910,4.0,False
325510,327910,2.0,False
325610,327910,11.0,False
326190,327910,1.0,False
423A00,327910,96.0,False
541511,327910,1.0,False
541700,327910,19.0,False
212310,327991,42.0,False
