napcs_code,bea_2017_commodity,weight,resolution,napcs_description
2001375000,311810,1.0,NAICS_2012_Code,"Manufacturing of bread (white, wheat, rye, etc.) and rolls, bread-type (including English muffins, bagels, and croissants), including frozen"
2001375003,311810,1.0,NAICS_2012_Code,Manufacturing of white pan bread
2001375006,311810,1.0,NAICS_2012_Code,"Manufacturing of white hearth bread (French, Italian, etc.)"
2001375009,311810,1.0,NAICS_2012_Code,"Manufacturing of dark wheat breads (whole wheat, cracked wheat, multigrain, etc.)"
2001375012,311810,1.0,NAICS_2012_Code,"Manufacturing of other variety breads (rye, unleavened)"
2001375015,311810,1.0,NAICS_2012_Code,"Manufacturing of rolls, hamburger and wiener"
2001375018,311810,1.0,NAICS_2012_Code,"Manufacturing of all other rolls, bread-type (including muffins, bagels, and croissants)"
2001400000,311810,1.0,NAICS_2012_Code,"Manufacturing of soft cakes, (snack, fruit, pound, layer, cheese, etc.), excluding frozen"
2001425000,311810,1.0,NAICS_2012_Code,"Manufacturing of pies (fruit, cream, and custard), excluding frozen"
2001450000,311810,1.0,NAICS_2012_Code,"Manufacturing of other sweet goods (doughnuts, pastries, coffee cakes. etc.), excluding cookies and frozen sweets"
2001475000,311810,1.0,NAICS_2012_Code,"Manufacturing of frozen cakes, pies, and other pastries"
2001500000,3118A0,1.0,NAICS_2012_Code,"Manufacturing of tortillas, sold in bulk or packages, excluding frozen or canned"
2001525000,3118A0,0.5,NAICS_2012_Code,Manufacturing of cracker sandwiches
2001525000,311990,0.5,NAICS_2012_Code,Manufacturing of cracker sandwiches
2001550000,3118A0,1.0,NAICS_2012_Code,"Manufacturing of saltines and all other crackers, cracker meal and crumbs, biscuits, and related products"
2001575000,311810,0.5,NAICS_2012_Code,"Manufacturing of cookies, wafers, and ice cream cones and cups (excluding frozen)"
2001575000,3118A0,0.5,NAICS_2012_Code,"Manufacturing of cookies, wafers, and ice cream cones and cups (excluding frozen)"
2001600000,311210,0.5,NAICS_2012_Code,"Manufacturing of cake mixes, including gingerbread"
2001600000,3118A0,0.5,NAICS_2007_Code,"Manufacturing of cake mixes, including gingerbread"
2001625000,311210,0.5,NAICS_2012_Code,"Manufacturing of flour mixes, including refrigerated and frozen doughs and batters, excluding cake mixes"
2001625000,3118A0,0.5,NAICS_2007_Code,"Manufacturing of flour mixes, including refrigerated and frozen doughs and batters, excluding cake mixes"
2001625003,311210,0.5,NAICS_2012_Code,Manufacturing of pancake and waffle mixes
