code_2022,code_2017,level_2022,level_2017,split,description_2022,description_2017
4003875003,4003875003,D,D,False,Wholesale sales of aluminum plates - .250 inches and over,Wholesale sales of aluminum plates - .250 inches and over
4003875006,4003875006,D,D,False,Wholesale sales of aluminum sheets and coils - .006 to .249 inches,Wholesale sales of aluminum sheets and coils - .006 to .249 inches
4003875009,4003875009,D,D,False,"Wholesale sales of aluminum pipes and tubing, including hollow bar, square, and rectangular tubing","Wholesale sales of aluminum pipes and tubing, including hollow bar, square, and rectangular tubing"
4003900000,4003900000,B,B,False,"Wholesale sales of primary, secondary, and alloyed copper and brass in primary and mill shapes, except pipe and tube","Wholesale sales of primary, secondary and alloyed copper and brass in primary and mill shapes, except pipe and tube"
4003900003,4003900003,D,D,False,"Wholesale sales of copper and brass flat products, including sheets, strips, and plates","Wholesale sales of copper and brass flat products, including sheets, strips, and plates"
4003900006,4003900006,D,D,False,"Wholesale sales of copper and brass tubular products, except copper plumbing products","Wholesale sales of copper and brass tubular products, except copper plumbing products"
4003900009,4003900009,D,D,False,"Wholesale sales of copper and brass rods, nonelectrical wire, and extruded shapes","Wholesale sales of copper and brass rods, nonelectrical wire, and extruded shapes"
4003925000,4003925000,B,B,False,"Wholesale sales of other primary, secondary, and alloyed nonferrous metals in primary and mill shapes","Wholesale sales of other primary, secondary and alloyed nonferrous metals in primary and mill shapes"
4003950000,4003950000,B,B,False,"Wholesale sales of metal castings, forgings, and stampings","Wholesale sales of metal castings, forgings, and stampings"
4003950003,4003950003,D,D,False,Wholesale sales of rough castings and foundry products,Wholesale sales of rough castings and foundry products
4003950006,4003950006,D,D,False,Wholesale sales of forgings and stampings,Wholesale sales of forgings and stampings
4003975000,4003975000,B,B,False,"Wholesale sales of wire, including plain, coated, barbed, and twisted","Wholesale sales of wire, including plain, coated, barbed, and twisted"
4004000000,4004000000,B,B,False,Wholesale sales of mechanical power transmission supplies,Wholesale sales of mechanical power transmission supplies
4004000003,4004000003,D,D,False,Wholesale sales of bearings and bushings,Wholesale sales of bearings and bushings
4004000006,4004000006,D,D,False,Wholesale sales of other mechanical power transmission supplies,Wholesale sales of other mechanical power transmission supplies
4004025000,4004025000,B,B,False,Wholesale sales of hydraulic and pneumatic valves,Wholesale sales of hydraulic and pneumatic valves
4004025003,4004025003,D,D,False,Wholesale sales of hydraulic valves,Wholesale sales of hydraulic valves
4004025006,4004025006,D,D,False,Wholesale sales of pneumatic valves,Wholesale sales of pneumatic valves
4004050000,4004050000,B,B,False,Wholesale sales of hydraulic and pneumatic cylinders and rotary actuators,Wholesale sales of hydraulic and pneumatic cylinders and rotary actuators
4004050003,4004050003,D,D,False,Wholesale sales of hydraulic cylinders and rotary actuators,Wholesale sales of hydraulic cylinders and rotary actuators
4004050006,4004050006,D,D,False,Wholesale sales of pneumatic cylinders and rotary actuators,Wholesale sales of pneumatic cylinders and rotary actuators
4004075000,4004075000,B,B,False,Wholesale sales of hydraulic and pneumatic connectors and assemblies,Wholesale sales of hydraulic and pneumatic connectors and assemblies
4004075003,4004075003,D,D,False,Wholesale sales of hydraulic and pneumatic connectors,Wholesale sales of hydraulic and pneumatic connectors
4004075006,4004075006,D,D,False,Wholesale sales of hydraulic and pneumatic assemblies,Wholesale sales of hydraulic and pneumatic assemblies
4004100000,4004100000,B,B,False,"Wholesale sales of hydraulic and pneumatic components, accessories, and parts","Wholesale sales of hydraulic and pneumatic components, accessories, and parts"
