ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Notes,Table
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,56,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,56,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,61,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,61,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,62,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,62,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,71,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,71,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,72,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,72,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,81,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,81,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,S00102,,S00102,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,S00102,,S00102,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,GSLGE,,GSLGE,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,GSLGE,,GSLGE,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Commercial,NAICS_2017_Code,GSLGH,,GSLGH,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Residential and Commercial,NAICS_2017_Code,GSLGH,,GSLGH,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,2213,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,42,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,44,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,45,,,EPA_GHGI_T_A_14
UMD_GHGIA,Total Petroleum Commercial,NAICS_2017_Code,493,,,EPA_GHGI_T_A_14
