ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Note
Census_EC_PxI,"medicines, vitamins, minerals, and supplements",BEA_2017_Code,325411,,seed; via NAICS 325411
Census_EC_PxI,men's and boys' clothing,BEA_2017_Code,315000,,seed; via NAICS 31522
Census_EC_PxI,men's and women's accessories (except costume jewelry),BEA_2017_Code,315000,,seed; via NAICS 315990
Census_EC_PxI,men's clothing,BEA_2017_Code,315000,,seed; via NAICS 315220
Census_EC_PxI,"metal castings, forgings, and stampings",BEA_2017_Code,331510,,corrected; via NAICS 3315
Census_EC_PxI,"metal castings, forgings, and stampings",BEA_2017_Code,331520,,corrected; via NAICS 3315
Census_EC_PxI,"metal castings, forgings, and stampings",BEA_2017_Code,332114,,corrected; via NAICS 3321
Census_EC_PxI,"metal castings, forgings, and stampings",BEA_2017_Code,332119,,corrected; via NAICS 3321
Census_EC_PxI,"metal castings, forgings, and stampings",BEA_2017_Code,33211A,,corrected; via NAICS 3321
Census_EC_PxI,metal structural products,BEA_2017_Code,332310,,seed; via NAICS 332312
Census_EC_PxI,"metalworking machinery and equipment, except welding equipment",BEA_2017_Code,333514,,seed; via NAICS 333514
Census_EC_PxI,millwork,BEA_2017_Code,321910,,seed; via NAICS 321918
Census_EC_PxI,"miscellaneous chemicals and supplies, including adhesives, dry ice and plastic materials",BEA_2017_Code,325520,,seed; via NAICS 325520
Census_EC_PxI,"motor homes, travel trailers, and campers",BEA_2017_Code,336213,,corrected; via NAICS 336213
Census_EC_PxI,"motor homes, travel trailers, and campers",BEA_2017_Code,336214,,corrected; via NAICS 336214
Census_EC_PxI,motorcycles and other sports vehicles,BEA_2017_Code,336991,,seed; via NAICS 336991
Census_EC_PxI,"motorcycles, motor scooters, motor bikes, including parts and accessories",BEA_2017_Code,336991,,seed; via NAICS 336991
Census_EC_PxI,musical instruments,BEA_2017_Code,339990,,seed; via NAICS 339992
Census_EC_PxI,"musical instruments, sheet music, and related items",BEA_2017_Code,339990,,seed; via NAICS 339992
Census_EC_PxI,"nails, wire rope, strand, strapping and reinforcement mesh",BEA_2017_Code,331200,,seed; via NAICS 331222
Census_EC_PxI,navigational and measuring equipment,BEA_2017_Code,334511,,seed; via NAICS 334511
Census_EC_PxI,"new and rebuilt automotive parts and supplies, and trailer parts and supplies, except automotive bodies and chemicals",BEA_2017_Code,336310,,seed; via NAICS 336310
Census_EC_PxI,"new and used aircraft, engines, and parts and accessories",BEA_2017_Code,336411,,seed; via NAICS 336411
Census_EC_PxI,new and used automobiles,BEA_2017_Code,336111,,corrected; via NAICS 336111
Census_EC_PxI,new and used automobiles,BEA_2017_Code,336112,,corrected; via NAICS 336112
Census_EC_PxI,"new controlling, recording, and indicating instruments and accessories",BEA_2017_Code,334513,,seed; via NAICS 334513
Census_EC_PxI,new food-processing machinery and equipment,BEA_2017_Code,33329A,,seed; via NAICS 333241
Census_EC_PxI,new heavy truck bodies,BEA_2017_Code,336211,,seed; via NAICS 336211
Census_EC_PxI,new irrigation equipment and parts,BEA_2017_Code,333111,,seed; via NAICS 333111
Census_EC_PxI,"new light truck, van, and suv bodies",BEA_2017_Code,336211,,seed; via NAICS 336211
Census_EC_PxI,new materials handling machinery and equipment,BEA_2017_Code,333920,,seed; via NAICS 333922
Census_EC_PxI,new printing trades machinery and equipment,BEA_2017_Code,33329A,,seed; via NAICS 333244
Census_EC_PxI,new textile and sewing machinery and equipment,BEA_2017_Code,33329A,,corrected; via NAICS 333249
Census_EC_PxI,new woodworking machinery,BEA_2017_Code,33329A,,seed; via NAICS 333243
Census_EC_PxI,"newspapers, periodicals, books and other publications, except greeting cards",BEA_2017_Code,511110,,corrected; via NAICS 511110
Census_EC_PxI,"newspapers, periodicals, books and other publications, except greeting cards",BEA_2017_Code,511120,,corrected; via NAICS 511120
Census_EC_PxI,"newspapers, periodicals, books and other publications, except greeting cards",BEA_2017_Code,511130,,corrected; via NAICS 511130
Census_EC_PxI,nonagricultural insecticides,BEA_2017_Code,325320,,seed; via NAICS 325320
Census_EC_PxI,nonelectric signs and coin-operated games,BEA_2017_Code,339950,,seed; via NAICS 339950
Census_EC_PxI,"nonferrous metals, including magnesium, nickel, tin, lead, and zinc, except gemstones",BEA_2017_Code,331410,,corrected; via NAICS 331410
Census_EC_PxI,"nonlumber forest products, including hewn posts, poles, and railroad ties",BEA_2017_Code,113000,,corrected; via NAICS 1133
Census_EC_PxI,nonpackaging paper and plastic,BEA_2017_Code,322220,,corrected; via NAICS 322220
Census_EC_PxI,nonpackaging paper and plastic,BEA_2017_Code,326190,,corrected; via NAICS 326199
Census_EC_PxI,nonperishable (canned and packaged) food,BEA_2017_Code,311420,,seed; via NAICS 31142
Census_EC_PxI,nonperishable (canned and packaged) food,BEA_2017_Code,311514,,seed; via NAICS 311514
Census_EC_PxI,nonperishable (canned and packaged) food,BEA_2017_Code,311910,,seed; via NAICS 31191
Census_EC_PxI,nonperishable (canned and packaged) food,BEA_2017_Code,311940,,seed; via NAICS 31194
Census_EC_PxI,nonperishable (canned and packaged) food,BEA_2017_Code,311990,,seed; via NAICS 311999
Census_EC_PxI,nonpower driven hand tools,BEA_2017_Code,332200,,seed; via NAICS 332216
Census_EC_PxI,"nonwood roofing, siding, and insulation products",BEA_2017_Code,324122,,seed; via NAICS 324122
Census_EC_PxI,"notions, including buttons, ribbons, lace, sewing accessories, zippers, and bindings",BEA_2017_Code,339990,,seed; via NAICS 339993
Census_EC_PxI,"novelties and souvenirs, except novelty glassware",BEA_2017_Code,339990,,seed; via NAICS 339999
Census_EC_PxI,"office and school supplies, packaging and packing materials and supplies, and other general industry and miscellaneous materials and supplies",BEA_2017_Code,339940,,seed; via NAICS 339940
Census_EC_PxI,office equipment and furniture (except computers),BEA_2017_Code,33721A,,seed; via NAICS 337214
Census_EC_PxI,"office equipment, except computers",BEA_2017_Code,333318,,corrected; via NAICS 333318
Census_EC_PxI,office furniture,BEA_2017_Code,33721A,,seed; via NAICS 337211
Census_EC_PxI,office supplies,BEA_2017_Code,339940,,seed; via NAICS 339940
Census_EC_PxI,oil well and pipeline machinery and equipment,BEA_2017_Code,333130,,seed; via NAICS 333132
Census_EC_PxI,oil well and pipeline machinery parts and supplies,BEA_2017_Code,333130,,seed; via NAICS 333132
Census_EC_PxI,optical and ophthalmic goods and supplies,BEA_2017_Code,339115,,seed; via NAICS 339115
Census_EC_PxI,"orthopedic and prosthetic appliances and supplies, including wheelchairs, walkers, crutches, canes, and hearing aids",BEA_2017_Code,339113,,seed; via NAICS 339113
Census_EC_PxI,other construction materials and supplies,BEA_2017_Code,327999,,seed; via NAICS 327999
Census_EC_PxI,other home furnishings and accessories,BEA_2017_Code,33712N,,seed; via NAICS 337125
Census_EC_PxI,"other industrial materials and supplies, including abrasives and welding supplies",BEA_2017_Code,332800,,seed; via NAICS 332813
Census_EC_PxI,other materials and supplies for textile mills,BEA_2017_Code,313100,,corrected; via NAICS 313110
Census_EC_PxI,"other petroleum products, including asphalt, road oil, and wax",BEA_2017_Code,324121,,seed; via NAICS 324121
Census_EC_PxI,"other primary, secondary and alloyed nonferrous metals in primary and mill shapes",BEA_2017_Code,331410,,seed; via NAICS 331410
Census_EC_PxI,"other sporting goods and equipment, excluding sport vehicles",BEA_2017_Code,339920,,seed; via NAICS 339920
Census_EC_PxI,"other textile house furnishings, except floor coverings",BEA_2017_Code,314110,,seed; via NAICS 3141
Census_EC_PxI,"other textile house furnishings, except floor coverings",BEA_2017_Code,314120,,seed; via NAICS 3141
Census_EC_PxI,other transportation equipment,BEA_2017_Code,336999,,corrected; via NAICS 336999
Census_EC_PxI,outdoor/ patio furniture,BEA_2017_Code,337122,,seed; via NAICS 337122
Census_EC_PxI,packaged frozen food,BEA_2017_Code,311410,,seed; via NAICS 31141
Census_EC_PxI,packaged frozen food,BEA_2017_Code,311520,,seed; via NAICS 31152
Census_EC_PxI,packing and packaging materials and supplies,BEA_2017_Code,322220,,seed; via NAICS 322220
Census_EC_PxI,paint and sundries,BEA_2017_Code,325510,,seed; via NAICS 325510
Census_EC_PxI,"paint, paint supplies, and wallpaper and supplies",BEA_2017_Code,325510,,seed; via NAICS 325510
Census_EC_PxI,pallets and skids,BEA_2017_Code,3219A0,,seed; via NAICS 321920
Census_EC_PxI,perishable prepared foods,BEA_2017_Code,311990,,seed; via NAICS 311991
Census_EC_PxI,"personal care paper products, including disposable diapers, feminine hygiene products, and similar",BEA_2017_Code,322291,,seed; via NAICS 322291
Census_EC_PxI,personal hygiene supplies,BEA_2017_Code,325610,,seed; via NAICS 325611
Census_EC_PxI,pet foods and supplies,BEA_2017_Code,311119,,seed; via NAICS 311119
Census_EC_PxI,petroleum products marketing equipment,BEA_2017_Code,333914,,seed; via NAICS 333914
Census_EC_PxI,photographic equipment and supplies,BEA_2017_Code,333316,,seed; via NAICS 333316
Census_EC_PxI,photographic supplies,BEA_2017_Code,3259A0,,seed; via NAICS 325992
Census_EC_PxI,"plastic pipes, rods, tubes, and shapes, except plastic plumbing pipes",BEA_2017_Code,326190,,seed; via NAICS 326199
Census_EC_PxI,plastic plumbing pipes and tubing,BEA_2017_Code,326120,,seed; via NAICS 326122
Census_EC_PxI,"plumbing equipment, except pipes and tubing",BEA_2017_Code,332913,,seed; via NAICS 332913
Census_EC_PxI,"plumbing, electrical, and hvac supplies",BEA_2017_Code,332913,,seed; via NAICS 332913
Census_EC_PxI,"power tools and equipment, including portable electric power tools, power air tools, stationary/bench top power tools, and accessories (blades, bits, etc.)",BEA_2017_Code,333991,,seed; via NAICS 333991
Census_EC_PxI,precious metals,BEA_2017_Code,331410,,seed; via NAICS 331410
Census_EC_PxI,"primary, secondary and alloyed aluminum in primary and mill shapes",BEA_2017_Code,331313,,seed; via NAICS 331313
