direction,commodity,candidate_usd,reference_usd,status
exports,621100,0.0,181000000.0,3
exports,621200,0.0,100000000.0,3
exports,621300,0.0,100000000.0,3
exports,621400,0.0,106000000.0,3
exports,621500,0.0,100000000.0,3
exports,621600,0.0,100000000.0,3
exports,621900,0.0,100000000.0,3
exports,622000,1098000000.0,2815000000.0,2
exports,623A00,0.0,100000000.0,3
exports,623B00,0.0,100000000.0,3
exports,624100,0.0,0.0,0
exports,624400,0.0,0.0,0
exports,624A00,0.0,0.0,0
exports,711100,201832028.16654345,347000000.0,2
exports,711200,198148344.2132037,294000000.0,2
exports,711500,169975066.09364623,371000000.0,2
exports,711A00,141044561.52660662,533000000.0,2
exports,712000,703191846.3592162,1000000.0,2
exports,713100,0.0,1000000.0,3
exports,713200,0.0,1000000.0,3
exports,713900,2750808153.640784,1000000.0,2
exports,721000,0.0,0.0,0
exports,722110,0.0,1177000000.0,3
exports,722211,0.0,1130000000.0,3
exports,722A00,0.0,400000000.0,3
exports,811100,12298329937.942707,49000000.0,2
exports,811200,3260131762.051025,4000000.0,2
exports,811300,4174155217.3144975,17000000.0,2
exports,811400,3506383082.6917706,5000000.0,2
exports,812100,0.0,0.0,0
exports,812200,0.0,0.0,0
exports,812300,0.0,0.0,0
exports,812900,0.0,0.0,0
exports,813100,0.0,0.0,0
exports,813A00,0.0,0.0,0
exports,813B00,0.0,0.0,0
exports,814000,0.0,0.0,0
exports,S00500,0.0,0.0,0
exports,S00600,0.0,0.0,0
exports,491000,737000000.0,710000000.0,2
exports,S00102,0.0,0.0,0
exports,GSLGE,0.0,0.0,0
exports,GSLGH,0.0,0.0,0
exports,GSLGO,0.0,0.0,0
exports,S00203,0.0,0.0,0
exports,S00401,18187410225.0,19710000000.0,2
exports,S00402,13032639440.0,15515000000.0,2
exports,S00300,0.0,0.0,0
exports,S00900,204438000000.0,204439000000.0,1
imports,1111A0,1024218924.0,963000000.0,2
imports,1111B0,2205625122.0,1646000000.0,2
imports,111200,9442789047.0,8398000000.0,2
imports,111300,22793245098.0,19320000000.0,2
imports,111400,2518299002.0,2661000000.0,2
imports,111900,1767097650.0,1605000000.0,2
imports,112120,8539270.18705036,9000000.0,1
imports,1121A0,1574072137.8129497,1659000000.0,2
imports,112300,92153511.0,102000000.0,2
imports,112A00,4926351820.0,4790000000.0,2
imports,113000,2964387123.0,2608000000.0,2
imports,114000,16898551473.0,15159000000.0,2
imports,115000,3000000.0,141000000.0,2
imports,211000,149881178300.0,146608000000.0,2
imports,212100,671287062.0,575000000.0,2
imports,212230,115701218.0,109000000.0,2
imports,2122A0,2137988122.0,2115000000.0,2
imports,212310,340276642.0,328000000.0,2
imports,2123A0,2118438900.0,1986000000.0,2
imports,213111,0.0,0.0,0
imports,21311A,1100000000.0,1048000000.0,2
imports,221100,2058444044.2229106,2431000000.0,2
imports,221200,0.0,0.0,0
